KLASA SAMAR,SILNIK,0,1,2,3,4,5,6,7
Sportowo-rekreacyjne - F LUKSUSOWE,LPG,"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - G SUPER LUKSUSOWE,Benzyna (PB),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - G SUPER LUKSUSOWE,Diesel (ON),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - G SUPER LUKSUSOWE,Benzyna mHEV (PB-mHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - G SUPER LUKSUSOWE,Diesel mHEV (ON-mHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - G SUPER LUKSUSOWE,Hybryda (HEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - G SUPER LUKSUSOWE,Plug-in Hybrid (PHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - G SUPER LUKSUSOWE,Elektryczny (BEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - G SUPER LUKSUSOWE,Wodór (FCEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - G SUPER LUKSUSOWE,LPG,"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Średnie dostawcze - ŚREDNIE DOSTAWCZE,Benzyna (PB),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Średnie dostawcze - ŚREDNIE DOSTAWCZE,Diesel (ON),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Średnie dostawcze - ŚREDNIE DOSTAWCZE,Benzyna mHEV (PB-mHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Średnie dostawcze - ŚREDNIE DOSTAWCZE,Diesel mHEV (ON-mHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Średnie dostawcze - ŚREDNIE DOSTAWCZE,Hybryda (HEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Średnie dostawcze - ŚREDNIE DOSTAWCZE,Plug-in Hybrid (PHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Średnie dostawcze - ŚREDNIE DOSTAWCZE,Elektryczny (BEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Średnie dostawcze - ŚREDNIE DOSTAWCZE,Wodór (FCEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Średnie dostawcze - ŚREDNIE DOSTAWCZE,LPG,"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
